uniqueID,imageID,cellID,pam_pa,pam_na,arousal,valence,easterntime,when.raw
4087,4,2,8,12,4,2,9/3/2014 10:30,9/3/2014 7:30
4088,11,4,16,3,4,4,9/3/2014 10:44,9/3/2014 7:44
4089,30,10,6,10,2,2,9/3/2014 10:45,9/3/2014 7:45
4090,24,8,15,3,3,4,9/3/2014 10:45,9/3/2014 7:45
4091,2,1,3,16,4,1,9/3/2014 10:45,9/3/2014 7:45
4092,4,2,8,12,4,2,9/3/2014 10:45,9/3/2014 7:45
4093,12,4,16,3,4,4,9/3/2014 10:45,9/3/2014 7:45
4094,9,3,12,8,4,3,9/3/2014 10:45,9/3/2014 7:45
4095,34,12,14,2,2,4,9/3/2014 10:45,9/3/2014 7:45
4096,33,11,10,6,2,3,9/3/2014 10:45,9/3/2014 7:45
4097,33,11,10,6,2,3,9/3/2014 10:45,9/3/2014 7:45
4098,48,16,13,1,1,4,9/3/2014 10:45,9/3/2014 7:45
4099,24,8,15,3,3,4,9/3/2014 11:13,9/3/2014 8:13
4100,14,5,3,15,3,1,9/3/2014 11:14,9/3/2014 8:14
4101,22,8,15,3,3,4,9/3/2014 11:14,9/3/2014 8:14
4102,40,14,5,9,1,2,9/3/2014 11:16,9/3/2014 8:16
4103,19,7,11,7,3,3,9/3/2014 11:20,9/3/2014 8:20
4104,7,3,12,8,4,3,9/3/2014 11:20,9/3/2014 8:20
4105,7,3,12,8,4,3,9/3/2014 11:20,9/3/2014 8:20
